AgroClimaticZone,District,Station,Item,Year,avg_temp,average_rain_fall_mm_per_year,avg_humidity_percent,wind_speed_m_s,solar_radiation_mj_m2,soil_moisture_percent,soil_ph,organic_carbon_percent,fertilizer_n_kg_per_ha,fertilizer_p_kg_per_ha,fertilizer_k_kg_per_ha,pesticides_tonnes,rainfall_variability,drought_flag,flood_flag,hg_ha_yield
New Alluvial Zone,Nadia,Nadia North,Jute,2007,28.83,1698.3,85.5,2.76,20.19,37.34,5.79,0.708,130.0,17.1,68.7,0.726,19.59,0,0,2294.6
New Alluvial Zone,Nadia,Nadia North,Jute,2008,24.84,1661.2,76.5,2.77,16.61,28.53,6.85,0.211,99.8,87.4,51.1,0.937,16.48,0,0,1870.9
New Alluvial Zone,Nadia,Nadia North,Jute,2009,28.25,1633.7,85.7,2.63,23.29,31.37,5.69,0.528,78.9,54.9,44.1,1.121,16.03,0,0,2280.8
New Alluvial Zone,Nadia,Nadia North,Jute,2010,28.28,1674.5,86.1,3.4,16.92,33.56,6.3,0.644,60.7,43.4,58.0,1.151,16.88,0,0,2171.0
New Alluvial Zone,Nadia,Nadia North,Jute,2011,27.94,1659.6,69.8,2.56,12.99,41.83,6.93,0.411,112.6,67.5,34.4,1.515,21.04,0,0,2393.5
New Alluvial Zone,Nadia,Nadia North,Jute,2012,26.57,1801.4,88.2,3.88,20.97,38.52,6.59,0.378,92.9,86.7,23.1,1.277,14.02,0,0,2115.1
New Alluvial Zone,Nadia,Nadia North,Jute,2013,28.01,1615.0,87.1,4.13,20.84,36.14,6.41,0.464,81.1,52.5,36.8,0.79,32.62,0,0,2199.0
New Alluvial Zone,Nadia,Nadia North,Jute,2014,25.92,1394.5,70.4,3.67,24.11,36.29,7.12,0.804,126.8,40.9,29.2,0.927,17.11,0,0,1856.6
New Alluvial Zone,Nadia,Nadia North,Jute,2015,30.26,1616.2,79.8,3.47,22.05,39.85,6.14,0.873,100.2,38.4,64.8,1.445,12.51,0,0,2566.0
New Alluvial Zone,Nadia,Nadia North,Jute,2016,29.23,1710.3,76.1,1.33,19.96,27.8,5.82,0.912,71.5,51.5,41.1,1.234,18.45,0,0,2302.0
New Alluvial Zone,Nadia,Nadia North,Jute,2017,29.43,1452.5,67.5,3.16,22.83,32.5,5.86,0.456,88.0,62.6,74.0,0.643,24.08,0,0,1849.5
New Alluvial Zone,Nadia,Nadia North,Jute,2018,27.19,1022.9,71.6,1.84,18.94,30.53,5.65,0.746,64.4,43.1,37.8,1.021,36.63,0,0,1338.1
New Alluvial Zone,Nadia,Nadia North,Jute,2019,29.31,1808.2,82.1,2.5,18.25,39.72,6.49,0.425,127.5,47.3,26.0,0.43,24.78,0,0,2165.6
New Alluvial Zone,Nadia,Nadia North,Jute,2020,29.27,1585.8,65.3,3.05,19.75,29.91,6.05,0.546,124.9,52.6,46.9,0.61,16.49,0,0,1968.9
New Alluvial Zone,Nadia,Nadia North,Jute,2021,29.61,1672.0,81.9,1.77,19.93,31.39,6.97,0.65,99.5,44.8,27.6,0.986,12.26,0,0,2346.0
New Alluvial Zone,Nadia,Nadia North,Jute,2022,26.65,1794.6,83.4,2.72,16.69,37.48,6.16,0.534,97.9,30.7,51.2,0.418,16.09,0,0,1933.3
New Alluvial Zone,Nadia,Nadia North,Jute,2023,28.83,1403.6,78.1,2.91,19.03,24.43,7.16,0.553,124.4,100.2,51.7,0.663,19.16,0,0,2055.8
New Alluvial Zone,Nadia,Nadia North,Jute,2024,27.41,1755.1,76.2,2.48,19.53,37.74,6.07,0.797,120.8,50.1,17.8,0.554,17.81,0,0,1960.3
New Alluvial Zone,Nadia,Nadia North,Potato,2000,28.41,1406.6,65.6,2.5,17.56,45.0,7.07,0.282,70.0,45.2,51.3,0.954,27.81,0,1,2811.7
New Alluvial Zone,Nadia,Nadia North,Potato,2001,27.45,1485.7,83.7,2.18,20.94,37.4,6.56,0.7,104.0,22.5,31.4,0.844,26.64,0,1,3218.8
New Alluvial Zone,Nadia,Nadia North,Potato,2002,29.18,1096.6,66.5,2.38,21.06,30.76,6.48,0.667,81.5,11.1,68.5,0.506,9.12,0,1,1944.7
New Alluvial Zone,Nadia,Nadia North,Potato,2003,28.29,1542.7,80.6,2.29,21.55,31.94,6.46,0.445,120.6,41.9,55.5,1.147,25.86,0,1,2642.9
New Alluvial Zone,Nadia,Nadia North,Potato,2004,28.3,1469.4,76.3,2.95,18.97,30.97,6.84,0.306,147.1,48.4,59.6,1.084,16.42,0,1,2501.2
New Alluvial Zone,Nadia,Nadia North,Potato,2005,27.61,1708.4,73.0,2.5,15.01,27.24,6.12,1.172,142.9,57.2,48.1,0.842,18.8,0,1,3278.1
New Alluvial Zone,Nadia,Nadia North,Potato,2006,28.93,1499.4,78.8,2.32,22.61,32.15,6.37,0.68,124.1,39.1,50.6,0.787,19.93,0,1,2048.1
New Alluvial Zone,Nadia,Nadia North,Potato,2007,26.59,1455.0,80.0,3.96,22.3,34.19,6.77,0.467,100.9,59.0,48.0,0.555,26.66,0,1,3440.0
New Alluvial Zone,Nadia,Nadia North,Potato,2008,26.93,1732.3,82.3,3.57,21.17,34.66,6.24,1.013,109.9,75.1,68.2,1.817,21.32,0,1,4608.3
New Alluvial Zone,Nadia,Nadia North,Potato,2009,27.35,1674.0,80.1,3.83,20.95,40.58,6.67,0.941,126.2,20.2,61.9,0.767,6.08,0,1,3153.2
New Alluvial Zone,Nadia,Nadia North,Potato,2010,26.97,1381.8,70.9,2.94,24.24,32.98,6.63,0.662,147.4,41.9,27.2,0.783,12.92,0,1,3181.9
New Alluvial Zone,Nadia,Nadia North,Potato,2011,28.18,1611.2,89.6,3.22,18.42,33.82,5.84,0.517,124.4,63.2,44.7,0.932,19.71,0,1,2848.9
New Alluvial Zone,Nadia,Nadia North,Potato,2012,27.28,1699.8,71.6,1.1,18.44,40.2,6.12,0.621,94.5,28.0,54.0,0.834,14.75,0,1,3457.3
New Alluvial Zone,Nadia,Nadia North,Potato,2013,27.92,1601.9,73.3,1.52,20.64,36.54,6.44,1.087,136.3,54.6,57.6,1.114,23.12,0,1,3099.9
New Alluvial Zone,Nadia,Nadia North,Potato,2014,27.7,1844.0,84.6,2.36,15.68,42.84,6.04,0.52,138.0,63.3,46.0,0.998,24.28,0,1,3680.5
New Alluvial Zone,Nadia,Nadia North,Potato,2015,26.96,1670.1,71.5,2.32,15.88,36.05,6.22,0.601,136.9,41.6,53.0,0.78,29.2,0,1,4243.7
New Alluvial Zone,Nadia,Nadia North,Potato,2016,26.56,1802.7,87.7,2.3,22.56,38.1,6.53,0.744,116.5,34.6,28.4,0.05,31.86,0,1,3662.0
New Alluvial Zone,Nadia,Nadia North,Potato,2017,26.71,1418.5,73.2,1.52,17.32,34.08,5.86,0.471,113.8,59.8,70.2,0.709,27.34,0,1,3769.5
New Alluvial Zone,Nadia,Nadia North,Potato,2018,28.41,1438.9,69.1,1.57,16.53,34.8,6.64,0.895,108.8,52.4,38.6,0.838,9.98,0,1,2656.4
New Alluvial Zone,Nadia,Nadia North,Potato,2019,28.21,1663.6,85.5,3.25,22.98,37.17,6.59,0.47,145.0,45.8,50.9,0.679,17.0,0,1,2763.3
New Alluvial Zone,Nadia,Nadia North,Potato,2020,29.24,1655.4,78.5,3.84,13.94,34.48,7.35,0.542,49.7,69.2,89.5,0.899,11.18,0,1,1768.9
New Alluvial Zone,Nadia,Nadia North,Potato,2021,28.19,1686.6,73.8,2.06,20.44,30.36,6.29,0.703,117.0,36.8,10.9,1.363,14.95,0,1,2896.6
New Alluvial Zone,Nadia,Nadia North,Potato,2022,25.82,1202.3,71.3,2.53,16.22,34.34,6.88,0.446,114.2,69.8,30.5,0.579,26.3,0,1,4420.2
New Alluvial Zone,Nadia,Nadia North,Potato,2023,27.27,1899.9,73.8,2.41,15.86,36.7,5.79,0.658,96.7,20.6,43.4,0.955,14.72,0,1,3292.4
New Alluvial Zone,Nadia,Nadia North,Potato,2024,28.38,1531.8,78.0,2.17,17.93,34.95,6.72,0.581,127.3,65.0,25.8,1.378,15.65,0,1,2931.9
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2000,28.07,1693.8,75.0,2.54,20.51,36.11,6.41,0.478,95.4,55.5,48.1,0.737,22.49,0,0,71508.8
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2001,28.13,1565.1,74.9,2.34,17.35,31.81,5.75,0.209,111.4,56.9,20.0,1.174,13.99,0,0,66400.1
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2002,28.88,1633.9,71.3,2.51,17.29,38.5,5.44,0.725,59.8,62.0,57.9,1.149,16.82,0,0,72524.5
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2003,28.09,1568.2,73.5,2.67,16.59,37.58,5.92,0.743,74.1,56.0,46.8,0.743,23.19,0,0,65645.4
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2004,28.98,1525.7,71.5,1.97,16.63,38.93,6.35,0.348,111.5,61.6,39.8,0.828,25.35,0,0,63667.9
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2005,27.45,1457.6,71.0,1.94,11.17,23.24,7.35,0.89,69.2,36.7,68.9,0.926,22.94,0,0,58270.7
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2006,28.01,1846.9,82.8,3.17,17.73,37.2,6.13,0.723,120.8,64.7,34.9,0.601,32.06,0,0,63390.6
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2007,27.34,1709.6,88.6,2.05,20.44,45.0,5.95,0.879,101.9,13.3,36.9,1.006,13.88,0,0,78956.9
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2008,26.36,1167.1,74.6,1.74,20.87,31.36,6.74,0.727,151.5,82.0,45.8,0.77,22.97,0,0,57877.9
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2009,28.64,1450.6,78.9,3.4,17.09,36.5,6.35,0.625,98.7,68.2,51.2,0.868,21.34,0,0,69707.7
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2010,25.92,1511.8,67.5,1.81,20.15,30.56,5.88,0.534,129.1,61.7,50.0,1.636,27.87,0,0,59436.2
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2011,27.05,1228.4,68.3,3.44,16.79,34.29,6.74,0.776,22.3,83.1,33.3,0.669,12.47,0,0,49089.5
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2012,26.82,1553.3,75.6,2.57,21.52,30.09,6.12,0.659,143.6,72.7,33.7,0.873,19.77,0,0,68488.7
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2013,27.05,1548.6,79.0,3.07,19.36,34.12,5.64,0.86,79.7,41.8,56.7,0.939,17.23,0,0,64590.6
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2014,29.13,1317.6,66.9,2.38,16.97,32.95,6.24,0.512,102.0,54.0,45.8,1.155,19.52,0,0,64949.3
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2015,29.17,1556.7,67.9,2.26,19.24,34.94,6.17,0.929,104.4,48.8,26.4,1.349,15.5,0,0,70775.3
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2016,26.34,977.3,61.8,3.03,19.87,24.16,6.15,0.546,108.9,70.6,52.4,1.116,13.88,0,0,52907.9
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2017,27.52,1173.8,77.3,2.6,17.54,31.32,5.96,1.084,139.0,70.9,39.7,1.047,22.23,0,0,67239.4
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2018,27.46,1851.3,85.0,2.98,15.71,42.55,6.51,0.708,33.8,39.6,35.4,1.094,35.34,0,0,59876.7
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2019,28.17,1538.4,77.0,3.24,16.5,36.44,7.14,0.936,82.5,93.2,56.8,1.205,24.31,0,0,75229.7
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2020,28.24,1560.0,82.6,1.78,20.36,28.69,6.0,0.452,126.1,55.1,69.4,1.034,10.79,0,0,63593.4
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2021,28.76,1617.5,86.7,2.92,20.55,28.24,6.94,0.951,65.5,12.0,45.6,0.639,24.98,0,0,55342.9
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2022,28.07,2057.3,79.2,3.22,12.59,33.26,6.86,0.663,20.0,17.7,36.4,0.827,28.49,0,0,49890.8
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2023,27.13,1356.5,75.9,2.06,15.01,30.17,6.55,0.938,155.6,77.0,50.4,1.03,22.69,0,0,70589.2
New Alluvial Zone,Nadia,Nadia North,Sugarcane,2024,27.7,1555.5,80.4,1.91,18.72,32.81,6.1,0.65,105.8,95.0,32.4,0.891,18.8,0,0,74469.0
New Alluvial Zone,Nadia,Nadia North,Mustard,2000,26.89,1600.6,88.1,1.73,17.18,35.02,6.75,0.619,131.3,64.1,51.2,1.076,22.28,0,1,392.0
New Alluvial Zone,Nadia,Nadia North,Mustard,2001,27.4,1658.0,89.2,3.57,15.1,29.99,6.36,0.513,106.9,25.4,51.7,0.778,24.66,0,1,334.9
New Alluvial Zone,Nadia,Nadia North,Mustard,2002,28.28,1348.8,73.3,3.29,20.03,30.12,5.99,0.662,134.7,81.0,58.1,1.289,18.42,0,1,304.4
New Alluvial Zone,Nadia,Nadia North,Mustard,2003,27.51,1548.8,72.4,1.81,20.55,29.14,6.76,0.656,87.4,48.4,38.1,1.016,11.22,0,1,322.7
New Alluvial Zone,Nadia,Nadia North,Mustard,2004,27.22,1737.4,77.0,2.4,18.26,38.1,6.84,0.55,83.8,67.9,18.5,0.889,22.54,0,1,320.4
New Alluvial Zone,Nadia,Nadia North,Mustard,2005,29.89,1937.1,82.8,1.49,23.23,34.66,6.42,0.725,78.6,47.7,42.8,0.93,14.47,0,1,209.2
New Alluvial Zone,Nadia,Nadia North,Mustard,2006,27.9,1974.7,79.7,1.68,17.88,42.17,6.4,0.681,91.6,44.4,68.1,1.119,11.57,0,1,344.0
New Alluvial Zone,Nadia,Nadia North,Mustard,2007,26.59,1426.6,73.8,1.91,16.34,27.86,7.31,0.429,113.9,57.2,33.1,0.734,17.96,0,1,354.0
New Alluvial Zone,Nadia,Nadia North,Mustard,2008,25.84,1489.4,75.3,2.28,19.69,39.9,6.86,0.716,75.0,85.9,13.7,0.716,25.02,0,1,436.4
New Alluvial Zone,Nadia,Nadia North,Mustard,2009,28.48,1698.7,81.3,1.82,22.94,32.17,6.3,0.758,122.4,43.4,36.9,1.001,17.55,0,1,276.2
New Alluvial Zone,Nadia,Nadia North,Mustard,2010,28.61,1479.8,80.7,3.0,18.69,34.98,6.83,0.673,118.3,42.1,55.6,0.936,13.23,0,1,279.9
New Alluvial Zone,Nadia,Nadia North,Mustard,2011,28.35,1233.9,69.4,2.35,15.09,32.21,6.62,0.694,128.0,88.5,69.9,0.668,10.88,0,1,257.5
New Alluvial Zone,Nadia,Nadia North,Mustard,2012,27.64,1687.9,84.6,2.11,18.55,36.54,5.9,0.408,77.1,24.1,56.2,1.262,15.74,0,1,306.0
New Alluvial Zone,Nadia,Nadia North,Mustard,2013,28.2,1133.5,63.3,2.16,12.95,31.9,5.62,0.747,78.3,32.4,58.0,0.935,16.96,0,1,278.3
New Alluvial Zone,Nadia,Nadia North,Mustard,2014,28.22,1629.8,77.6,2.06,18.66,33.89,5.46,0.55,51.6,76.4,56.8,0.709,20.91,0,1,268.6
New Alluvial Zone,Nadia,Nadia North,Mustard,2015,27.48,2012.8,81.1,2.49,22.41,37.59,6.11,0.6,156.5,61.3,57.9,0.32,17.39,0,1,310.9
New Alluvial Zone,Nadia,Nadia North,Mustard,2016,27.28,1203.1,69.4,2.37,14.38,36.19,6.63,0.639,129.1,40.1,28.6,1.17,20.0,0,1,401.9
New Alluvial Zone,Nadia,Nadia North,Mustard,2017,26.66,1642.1,84.4,0.3,15.02,33.43,5.97,0.472,83.9,10.0,57.3,0.786,19.73,0,1,323.8
New Alluvial Zone,Nadia,Nadia North,Mustard,2018,27.55,1652.0,75.5,2.08,19.49,33.82,6.51,0.658,89.1,59.3,77.3,0.517,30.77,0,1,327.1
New Alluvial Zone,Nadia,Nadia North,Mustard,2019,29.15,1825.7,85.4,1.86,18.47,35.62,5.89,0.763,95.1,20.2,15.3,0.304,23.62,0,1,203.0
New Alluvial Zone,Nadia,Nadia North,Mustard,2020,27.26,1621.2,74.7,3.49,16.91,34.66,6.92,0.687,152.0,59.8,27.9,0.854,29.5,0,1,370.7
New Alluvial Zone,Nadia,Nadia North,Mustard,2021,24.9,1556.1,71.5,2.4,22.3,34.68,6.36,0.843,133.1,69.1,12.0,0.951,11.55,0,1,465.2
New Alluvial Zone,Nadia,Nadia North,Mustard,2022,25.37,1331.8,74.4,2.66,19.91,33.9,6.06,0.76,96.8,48.0,23.7,0.755,10.36,0,1,393.3
New Alluvial Zone,Nadia,Nadia North,Mustard,2023,27.17,1341.4,71.1,1.72,14.89,30.05,5.32,0.686,81.4,61.0,42.0,0.443,18.2,0,1,318.1
New Alluvial Zone,Nadia,Nadia North,Mustard,2024,27.75,1176.2,70.4,2.64,16.39,32.24,6.05,0.536,101.9,86.0,40.2,1.219,12.58,0,1,340.0
New Alluvial Zone,Nadia,Nadia South,Rice,2000,25.9,1402.8,70.8,2.73,17.38,37.66,5.8,0.886,132.2,45.7,28.0,0.733,23.62,0,0,4533.8
New Alluvial Zone,Nadia,Nadia South,Rice,2001,25.98,1352.2,79.6,3.65,18.73,35.96,6.27,0.683,116.3,28.5,52.6,0.336,22.24,0,0,4126.8
New Alluvial Zone,Nadia,Nadia South,Rice,2002,26.29,1569.4,73.1,3.0,17.98,28.78,6.19,0.368,76.3,43.7,55.2,0.596,23.02,0,0,3579.9
New Alluvial Zone,Nadia,Nadia South,Rice,2003,27.7,1509.5,84.0,1.19,18.76,34.13,5.89,0.633,94.9,72.4,54.0,0.682,21.97,0,0,4530.0
New Alluvial Zone,Nadia,Nadia South,Rice,2004,28.54,1398.4,72.6,3.32,20.3,32.17,6.27,0.642,158.2,62.6,43.2,0.793,29.97,0,0,4022.0
New Alluvial Zone,Nadia,Nadia South,Rice,2005,24.05,1237.0,69.1,1.82,19.88,28.35,6.37,0.428,64.2,62.3,48.5,0.718,16.21,0,0,3445.3
New Alluvial Zone,Nadia,Nadia South,Rice,2006,26.08,1403.1,69.7,2.15,22.37,36.73,6.83,0.662,91.8,42.9,92.7,1.039,17.21,0,0,4252.6
New Alluvial Zone,Nadia,Nadia South,Rice,2007,27.58,1312.7,69.2,3.84,14.98,26.8,6.3,0.658,121.3,80.8,57.6,1.247,24.64,0,0,4461.4
New Alluvial Zone,Nadia,Nadia South,Rice,2008,27.58,1171.5,64.5,2.53,20.74,33.33,6.38,0.806,119.3,78.8,75.6,0.892,19.46,0,0,4201.0
New Alluvial Zone,Nadia,Nadia South,Rice,2009,26.41,1653.5,85.8,3.49,19.97,42.91,6.49,0.762,50.7,42.6,32.8,1.571,24.04,0,0,4943.5
New Alluvial Zone,Nadia,Nadia South,Rice,2010,27.38,1476.5,78.2,3.51,16.38,32.83,6.12,0.411,144.1,76.4,56.5,0.49,20.91,0,0,4304.0
New Alluvial Zone,Nadia,Nadia South,Rice,2011,25.93,1699.9,75.2,3.02,16.28,42.02,6.66,0.631,67.3,42.4,66.1,0.502,26.19,0,0,4098.1
New Alluvial Zone,Nadia,Nadia South,Rice,2012,26.12,1553.5,61.4,2.66,20.48,37.33,6.3,0.746,88.6,74.4,31.8,1.103,25.17,0,0,4221.8
New Alluvial Zone,Nadia,Nadia South,Rice,2013,26.4,1508.8,84.2,1.82,18.9,31.17,6.97,0.589,96.2,65.5,64.4,0.857,6.63,0,0,3750.1
New Alluvial Zone,Nadia,Nadia South,Rice,2014,26.34,1564.6,92.2,2.31,16.96,24.35,6.92,0.235,89.6,72.1,53.2,1.062,24.8,0,0,3896.3
New Alluvial Zone,Nadia,Nadia South,Rice,2015,26.39,1537.4,75.9,2.6,20.52,36.35,6.7,0.953,149.4,23.7,52.8,0.661,15.76,0,0,4307.4
New Alluvial Zone,Nadia,Nadia South,Rice,2016,26.59,1671.6,82.3,3.38,18.64,33.89,6.64,0.33,118.0,70.3,48.7,0.473,23.19,0,0,3761.1
New Alluvial Zone,Nadia,Nadia South,Rice,2017,27.62,1732.7,77.1,2.47,21.38,34.07,5.94,0.324,102.3,41.8,54.5,0.871,26.53,0,0,3649.5
New Alluvial Zone,Nadia,Nadia South,Rice,2018,28.57,1331.1,76.4,2.51,15.7,31.45,6.72,0.562,111.3,54.3,47.1,0.883,14.15,0,0,3904.8
New Alluvial Zone,Nadia,Nadia South,Rice,2019,26.81,1601.6,79.3,1.99,15.51,29.94,6.12,0.426,67.1,41.3,74.2,0.831,13.83,0,0,3508.3
New Alluvial Zone,Nadia,Nadia South,Rice,2020,26.6,1605.2,71.1,1.73,22.03,35.76,6.42,0.978,62.9,59.5,53.6,0.676,4.4,0,0,4461.3
New Alluvial Zone,Nadia,Nadia South,Rice,2021,27.23,1308.4,71.3,2.88,17.77,34.05,5.84,0.821,126.8,48.6,48.9,1.403,23.15,0,0,4949.4
New Alluvial Zone,Nadia,Nadia South,Rice,2022,26.6,1809.5,80.5,3.68,22.78,34.11,6.51,0.361,20.0,67.9,35.8,1.136,26.51,0,0,3868.5
New Alluvial Zone,Nadia,Nadia South,Rice,2023,26.9,1343.0,68.1,2.88,16.04,33.41,6.95,0.768,45.3,65.5,40.0,1.3,18.6,0,0,4348.2
New Alluvial Zone,Nadia,Nadia South,Rice,2024,26.47,1362.8,78.0,2.03,16.31,29.41,5.95,0.641,100.8,46.3,66.8,0.845,19.04,0,0,3397.6
New Alluvial Zone,Nadia,Nadia South,Wheat,2000,26.45,1524.7,83.5,3.12,24.69,36.15,5.54,0.638,97.0,56.6,56.0,1.398,17.8,0,0,1446.6
New Alluvial Zone,Nadia,Nadia South,Wheat,2001,27.61,1501.5,71.7,3.99,20.21,37.73,6.61,0.61,100.0,67.1,48.8,0.891,9.45,0,0,1141.6
New Alluvial Zone,Nadia,Nadia South,Wheat,2002,26.65,1143.9,61.4,3.09,18.62,27.38,6.64,0.731,116.1,52.2,34.2,1.302,21.9,0,0,2065.5
New Alluvial Zone,Nadia,Nadia South,Wheat,2003,26.03,1582.7,78.6,1.59,21.06,36.7,7.16,0.223,57.4,58.5,36.2,1.47,17.16,0,0,1389.8
New Alluvial Zone,Nadia,Nadia South,Wheat,2004,25.21,1473.0,82.3,2.94,15.9,33.76,5.55,0.426,135.2,33.9,57.7,0.237,20.91,0,0,1363.8
New Alluvial Zone,Nadia,Nadia South,Wheat,2005,28.36,1829.4,85.4,2.91,17.55,41.47,5.96,0.848,95.8,60.2,46.2,1.271,27.18,0,1,681.9
New Alluvial Zone,Nadia,Nadia South,Wheat,2006,26.68,1540.9,69.2,3.01,14.65,33.86,6.35,0.596,90.3,21.0,43.4,0.684,12.92,0,0,1210.4
New Alluvial Zone,Nadia,Nadia South,Wheat,2007,26.78,1557.2,81.8,2.67,20.99,32.56,5.96,0.466,103.8,51.7,27.6,1.083,26.52,0,0,1039.0
New Alluvial Zone,Nadia,Nadia South,Wheat,2008,25.46,957.6,71.1,1.62,21.18,30.95,6.55,0.679,104.8,53.4,39.2,0.798,13.69,0,0,2720.6
New Alluvial Zone,Nadia,Nadia South,Wheat,2009,27.25,1777.1,78.3,1.3,19.47,34.63,5.96,0.585,68.3,50.6,55.6,1.349,15.13,0,1,781.5
New Alluvial Zone,Nadia,Nadia South,Wheat,2010,27.72,1612.0,71.4,2.05,16.01,40.4,5.58,0.474,80.6,49.3,44.8,1.245,27.63,0,0,1050.3
New Alluvial Zone,Nadia,Nadia South,Wheat,2011,28.24,1229.1,63.6,2.62,16.54,33.23,6.14,0.642,126.6,57.6,65.7,1.016,28.41,0,0,1567.1
New Alluvial Zone,Nadia,Nadia South,Wheat,2012,26.35,1711.1,72.8,2.87,19.24,33.71,6.06,0.666,121.2,62.8,41.3,1.081,20.84,0,1,831.1
New Alluvial Zone,Nadia,Nadia South,Wheat,2013,26.82,1306.7,65.8,2.71,16.9,33.39,6.24,0.959,93.6,58.0,49.6,0.949,21.92,0,0,1613.3
New Alluvial Zone,Nadia,Nadia South,Wheat,2014,27.73,1623.9,82.6,2.17,16.74,34.47,5.87,0.619,31.1,70.1,26.2,1.041,14.55,0,1,742.0
New Alluvial Zone,Nadia,Nadia South,Wheat,2015,27.86,1852.9,93.4,2.42,20.19,39.16,5.98,0.758,131.3,34.3,47.5,1.037,19.55,0,1,693.9
New Alluvial Zone,Nadia,Nadia South,Wheat,2016,26.79,1181.0,62.0,3.56,13.29,26.49,6.13,0.78,127.6,87.1,58.2,0.518,19.48,0,0,1857.6
New Alluvial Zone,Nadia,Nadia South,Wheat,2017,27.36,1520.5,74.9,3.07,15.18,34.38,6.89,0.562,104.7,45.9,37.4,0.982,22.26,0,0,1119.0
New Alluvial Zone,Nadia,Nadia South,Wheat,2018,27.29,1678.9,75.0,3.14,25.53,41.22,6.76,0.583,111.9,58.5,22.0,0.867,28.84,0,1,821.7
New Alluvial Zone,Nadia,Nadia South,Wheat,2019,24.93,1682.1,85.2,2.37,14.26,43.56,5.96,0.763,75.1,59.4,64.1,0.92,16.64,0,1,1248.6
New Alluvial Zone,Nadia,Nadia South,Wheat,2020,28.38,1587.5,67.0,2.2,16.93,41.81,5.94,0.817,140.8,47.0,34.6,1.055,21.39,0,0,1086.9
New Alluvial Zone,Nadia,Nadia South,Wheat,2021,25.77,826.9,69.6,2.89,15.1,24.82,6.41,1.185,107.2,73.7,52.9,1.121,16.58,0,0,2574.4
New Alluvial Zone,Nadia,Nadia South,Wheat,2022,27.16,1524.1,72.3,1.32,22.93,38.65,6.18,0.588,169.1,55.2,71.4,0.664,6.73,0,0,1213.2
New Alluvial Zone,Nadia,Nadia South,Wheat,2023,26.14,1766.2,84.9,2.79,11.01,31.68,6.12,0.619,90.9,46.7,52.1,1.439,30.28,0,1,923.2
New Alluvial Zone,Nadia,Nadia South,Wheat,2024,24.91,1984.3,89.8,3.56,16.38,39.14,6.88,0.632,154.7,63.4,34.2,0.894,16.67,0,1,1132.0
New Alluvial Zone,Nadia,Nadia South,Maize,2000,26.42,1591.9,75.9,3.06,17.09,32.4,6.27,0.951,92.4,62.5,50.7,0.746,14.91,0,0,3065.5
New Alluvial Zone,Nadia,Nadia South,Maize,2001,26.51,1692.6,77.1,2.32,16.36,32.25,6.33,0.639,142.0,40.0,39.8,1.111,16.79,0,0,2713.7
New Alluvial Zone,Nadia,Nadia South,Maize,2002,25.05,1818.9,81.3,1.5,15.67,39.53,6.51,0.688,151.0,79.5,47.2,1.418,15.67,0,0,2706.6
New Alluvial Zone,Nadia,Nadia South,Maize,2003,27.75,978.3,74.9,3.46,19.97,33.71,6.88,0.408,84.5,46.5,26.5,1.505,23.42,0,0,3467.0
New Alluvial Zone,Nadia,Nadia South,Maize,2004,25.54,1135.1,64.8,2.49,17.19,25.29,5.59,0.454,103.2,51.9,54.5,0.726,17.88,0,0,3366.4
New Alluvial Zone,Nadia,Nadia South,Maize,2005,26.31,1732.6,80.7,3.13,22.38,37.82,6.28,0.622,45.6,42.5,23.9,1.726,31.84,0,0,2533.7
New Alluvial Zone,Nadia,Nadia South,Maize,2006,25.51,1407.9,73.6,2.06,19.84,32.22,6.77,0.786,141.6,67.5,42.7,0.772,14.73,0,0,3690.4
New Alluvial Zone,Nadia,Nadia South,Maize,2007,25.06,1472.5,74.6,3.34,20.75,30.72,5.73,0.901,107.9,41.3,46.6,1.169,10.07,0,0,2989.3
New Alluvial Zone,Nadia,Nadia South,Maize,2008,23.93,1301.4,78.8,3.28,18.89,30.39,6.45,0.839,132.2,67.3,32.9,0.662,20.87,0,0,3756.4
